INDEX,Long,Lat
1,127.0451559,37.5560675
2,127.0448813,37.5559921
3,127.0448044,37.5558037
4,127.0447317,37.5556589
5,127.0446125,37.555513
6,127.0445278,37.5552843
7,127.0444281,37.5549979
8,127.0444397,37.5549395
9,127.0443999,37.5548509
10,127.0443754,37.5547508
11,127.0443702,37.5547007
12,127.0443719,37.5546542
13,127.0443939,37.5546345
14,127.0444385,37.5546268
15,127.0444892,37.5546568
16,127.0445345,37.5547084
17,127.0445538,37.5547592
18,127.0446304,37.5548128
19,127.0447301,37.5548862
20,127.0448199,37.5549375
21,127.0448503,37.5549704
22,127.0448746,37.5550056
23,127.044934,37.5551408
24,127.0449817,37.5552546
25,127.0450241,37.5553394
26,127.0450697,37.5553879
27,127.0451076,37.5553978
28,127.0451666,37.5553908
29,127.0452427,37.5553719
30,127.0453365,37.5553374
31,127.0454343,37.5553104
32,127.0455513,37.5552807
33,127.045724,37.5552338
34,127.0458507,37.5551939
35,127.045895,37.5551665
36,127.0459273,37.5551441
37,127.0459216,37.5551054
38,127.0459045,37.5550707
39,127.0458903,37.5550275
